site_id,latitude,longitude,description,feature_name,comid,country,origin_study_code,data_source,nearest_eq_distance_km,nearest_eq_id,nearest_eq_magnitude,nearest_eq_depth_km,nearest_eq_depth_category,nearest_eq_year,nearest_eq_place,proximity_category
MP-102600,37.7323106,-121.10824,stream,Stanislaus River,2821830.0,United States,CM,PNNL_River_Sampling,52.62,nc1050437,5.4,14.166,Shallow,1980.0,"9 km NE of Livermore, California",Very Close (<100 km)
MP-102602,38.1490173,-121.2992935,stream,Mokelumne River,3953581.0,United States,CM,PNNL_River_Sampling,53.54,nc1050040,5.8,14.488,Shallow,1980.0,"The 1980 Livermore, California Earthquake",Very Close (<100 km)
MP-102695,48.8186,-122.5806,stream,Nooksack River,23955772.0,United States,CM,PNNL_River_Sampling,30.89,uw10257663,5.0,11.861,Shallow,1990.0,"4 km ENE of Deming, Washington",Very Close (<100 km)
MP-102901,46.7322,-117.1805,stream,South Fork Palouse,23459939.0,United States,CM,PNNL_River_Sampling,123.49,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Moderate (100-500 km)
MP-102944,45.7124168,-123.7629212,stream,Nehalem River,23871899.0,United States,CM,PNNL_River_Sampling,91.15,iscgem875624,5.16,15.0,Shallow,1962.0,"5 km E of Bridgeton, Oregon",Very Close (<100 km)
MP-103021,34.42521,-81.60461,stream,Indian creek,9693728.0,United States,CM,PNNL_River_Sampling,232.63,se60324281,5.1,4.14,Shallow,2020.0,"4 km SE of Sparta, North Carolina",Moderate (100-500 km)
MP-103034,33.9959631,-80.9569115,stream,Wildcat Creek,9680956.0,United States,CM,PNNL_River_Sampling,275.83,se60324281,5.1,4.14,Shallow,2020.0,"4 km SE of Sparta, North Carolina",Moderate (100-500 km)
MP-103089,41.3825,-72.8972,stream,Mill River,6177260.0,United States,CM,PNNL_River_Sampling,303.7,ushis1343,5.26,10.0,Shallow,1940.0,"8 km W of Tamworth, New Hampshire",Moderate (100-500 km)
MP-103149,35.8365411,-78.782094,stream,Crabtree Creek,8785913.0,United States,CM,PNNL_River_Sampling,218.7,se60324281,5.1,4.14,Shallow,2020.0,"4 km SE of Sparta, North Carolina",Moderate (100-500 km)
MP-103224,35.689577,-82.593379,stream,Reems Creek,22160728.0,United States,CM,PNNL_River_Sampling,161.09,se60324281,5.1,4.14,Shallow,2020.0,"4 km SE of Sparta, North Carolina",Moderate (100-500 km)
MP-103357,33.9485,-117.6118,stream,Cucamonga Creek,22563070.0,United States,CM,PNNL_River_Sampling,14.25,ci14383980,5.44,15.503,Shallow,2008.0,"5km S of Chino Hills, CA",Very Close (<100 km)
MP-103380,34.16866,-116.831793,stream,South Fork Santa Ana River,22559686.0,United States,CM,PNNL_River_Sampling,2.0,ci2057008,5.53,9.615,Shallow,1992.0,"11km SSE of Big Bear Lake, California",Very Close (<100 km)
MP-103531,39.0073,-121.5804,stream,Bear/Feather River,7972667.0,United States,CM,PNNL_River_Sampling,47.34,nc71105799,5.7,4.97,Shallow,1975.0,"The 1975 Oroville, California Earthquake",Very Close (<100 km)
MP-103594,39.4803,-106.0468,stream,Blue River,1314635.0,United States,CM,PNNL_River_Sampling,108.85,ushis2979,5.2,5.0,Shallow,1967.0,"4 km NE of Derby, Colorado",Moderate (100-500 km)
MP-103805,40.1047,-77.1803,stream,Mountain Creek,4711518.0,United States,CM,PNNL_River_Sampling,252.66,se609212,5.8,6.0,Shallow,2011.0,"11 km SSW of Mineral, Virginia",Moderate (100-500 km)
MP-103975,40.66522,-111.84597,stream,Big Cottonwood Creek,10389524.0,United States,CM,PNNL_River_Sampling,21.46,ushis2571,5.03,7.0,Shallow,1962.0,"1 km NE of Magna, Utah",Very Close (<100 km)
MP-104218,45.537135,-122.379308,stream,Beaver Creek,23737123.0,United States,CM,PNNL_River_Sampling,18.66,iscgem875624,5.16,15.0,Shallow,1962.0,"5 km E of Bridgeton, Oregon",Very Close (<100 km)
NF01,46.742847,-120.929651,stream,North Fork Oak Creek,24424703.0,United States,PRT,PNNL_River_Sampling,42.92,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
Nisqually (Glacial melt driven),46.73861111,-121.9180556,stream,Nisqually,24282182.0,United States,48hr,PNNL_River_Sampling,46.51,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
OLC-DR,29.479885,-98.479996,stream,Olmos Creek,10840810.0,United States,AV1,PNNL_River_Sampling,420.13,tx2024ophu,5.1,3.2959,Shallow,2024.0,"17 km NNE of Hermleigh, Texas",Moderate (100-500 km)
ONT1,44.1923,-76.5755,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,167.35,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Moderate (100-500 km)
ONT2,44.1923,-76.3964,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,155.23,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Moderate (100-500 km)
ORL2,47.0044,-70.7079,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,72.83,iscgem910394,6.3,15.0,Shallow,1925.0,"7 km NW of Saint-Pacôme, Canada",Very Close (<100 km)
ORL3,46.9782,-70.687,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,73.79,iscgem910394,6.3,15.0,Shallow,1925.0,"7 km NW of Saint-Pacôme, Canada",Very Close (<100 km)
QC1,46.8426,-71.1815,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,111.82,iscgem910394,6.3,15.0,Shallow,1925.0,"7 km NW of Saint-Pacôme, Canada",Moderate (100-500 km)
QC2,46.8377,-71.1647,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,111.16,iscgem910394,6.3,15.0,Shallow,1925.0,"7 km NW of Saint-Pacôme, Canada",Moderate (100-500 km)
QC3,46.8349,-71.1566,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,110.87,iscgem910394,6.3,15.0,Shallow,1925.0,"7 km NW of Saint-Pacôme, Canada",Moderate (100-500 km)
QC4,46.8226,-71.2081,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,114.79,iscgem910394,6.3,15.0,Shallow,1925.0,"7 km NW of Saint-Pacôme, Canada",Moderate (100-500 km)
REP1,45.7427,-73.4338,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,135.59,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Moderate (100-500 km)
REP2,45.7416,-73.4243,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,136.07,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Moderate (100-500 km)
REP3,45.7445,-73.4062,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,137.35,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Moderate (100-500 km)
REP4,45.7361,-73.4117,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,136.43,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Moderate (100-500 km)
S000001,44.16357,-122.332589,stream,Blue River,23773405.0,United States,Minikits,PNNL_River_Sampling,99.31,uw10306313,5.6,19.608,Shallow,1993.0,"4 km E of Scotts Mills, Oregon",Very Close (<100 km)
S000002,44.219477,-122.24108,stream,WS3,-9999.0,United States,Minikits,PNNL_River_Sampling,95.2,uw10306313,5.6,19.608,Shallow,1993.0,"4 km E of Scotts Mills, Oregon",Very Close (<100 km)
S000003,44.207386,-122.258178,stream,WS1,-9999.0,United States,Minikits,PNNL_River_Sampling,96.08,uw10306313,5.6,19.608,Shallow,1993.0,"4 km E of Scotts Mills, Oregon",Very Close (<100 km)
S000004,44.217143,-122.260991,stream,WS10,-9999.0,United States,Minikits,PNNL_River_Sampling,94.98,uw10306313,5.6,19.608,Shallow,1993.0,"4 km E of Scotts Mills, Oregon",Very Close (<100 km)
S000005,44.210012,-122.257614,stream,Lookout Creek,23773411.0,United States,Minikits,PNNL_River_Sampling,95.82,uw10306313,5.6,19.608,Shallow,1993.0,"4 km E of Scotts Mills, Oregon",Very Close (<100 km)
S000006,44.212101,-122.244663,stream,WS2,-9999.0,United States,Minikits,PNNL_River_Sampling,95.9,uw10306313,5.6,19.608,Shallow,1993.0,"4 km E of Scotts Mills, Oregon",Very Close (<100 km)
S000007,44.124286,-122.468282,stream,McKenzie River,23772909.0,United States,Minikits,PNNL_River_Sampling,101.88,uw10306313,5.6,19.608,Shallow,1993.0,"4 km E of Scotts Mills, Oregon",Moderate (100-500 km)
S000008,35.091,-106.683,stream,Rio Grande,17819068.0,United States,Minikits,PNNL_River_Sampling,171.92,usp0000e9z,5.0,25.0,Shallow,1976.0,"25 km NW of Crownpoint, New Mexico",Moderate (100-500 km)
S000009,46.254,-119.473454,stream,Yakima,947030105.0,United States,Minikits,PNNL_River_Sampling,84.2,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Very Close (<100 km)
S000010,46.54,-120.48,stream,Ahtanum Creek,17000000000000.0,United States,Minikits,PNNL_River_Sampling,69.94,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
S000011,35.999387,-84.298959,stream,East Fork Poplar Creek,22124902.0,United States,Minikits,PNNL_River_Sampling,243.81,se60079,5.2,8.0,Shallow,1980.0,"3 km SSE of Sharpsburg, Kentucky",Moderate (100-500 km)
S000012,36.001921,-84.249506,stream,East Fork Poplar Creek,22124290.0,United States,Minikits,PNNL_River_Sampling,242.95,se60079,5.2,8.0,Shallow,1980.0,"3 km SSE of Sharpsburg, Kentucky",Moderate (100-500 km)
S000013,35.966354,-84.357576,stream,East Fork Poplar Creek,22125640.0,United States,Minikits,PNNL_River_Sampling,248.23,se60079,5.2,8.0,Shallow,1980.0,"3 km SSE of Sharpsburg, Kentucky",Moderate (100-500 km)
S000014,30.245112,-97.695781,stream,Lower Colorado River,5781919.0,United States,Minikits,PNNL_River_Sampling,396.81,tx2024ophu,5.1,3.2959,Shallow,2024.0,"17 km NNE of Hermleigh, Texas",Moderate (100-500 km)
S000017,46.90567,-123.98005,stream,Beaver Creek,23861269.0,United States,Minikits,PNNL_River_Sampling,43.41,uw10474303,5.8,40.014,Shallow,1999.0,"8 km N of Satsop, Washington",Very Close (<100 km)
S000019,46.90567,-123.98005,stream,Beaver Creek,23861269.0,United States,Minikits,PNNL_River_Sampling,43.41,uw10474303,5.8,40.014,Shallow,1999.0,"8 km N of Satsop, Washington",Very Close (<100 km)
S000022,38.509976,-122.883578,stream,Russian River,8272693.0,United States,Minikits,PNNL_River_Sampling,22.68,iscgem803001,5.26,15.0,Shallow,1969.0,"3 km E of Bloomfield, California",Very Close (<100 km)
S000023,38.494121,-122.85312,stream,Mark West Creek,8273161.0,United States,Minikits,PNNL_River_Sampling,20.32,iscgem803001,5.26,15.0,Shallow,1969.0,"3 km E of Bloomfield, California",Very Close (<100 km)
S000026,41.733333,-88.333556,stream,Fox River,14762989.0,United States,Minikits,PNNL_River_Sampling,337.75,nm603116,5.2,4.6,Shallow,1987.0,"2 km ESE of Claremont, Illinois",Moderate (100-500 km)
S000030,38.922791,-106.949624,stream,East River,1332754.0,United States,Minikits,PNNL_River_Sampling,89.38,ushis2466,5.5,49.0,Shallow,1960.0,"15 km E of Colona, Colorado",Very Close (<100 km)
S000032,38.957586,-106.987644,stream,Copper Creek,1332672.0,United States,Minikits,PNNL_River_Sampling,90.42,ushis2466,5.5,49.0,Shallow,1960.0,"15 km E of Colona, Colorado",Very Close (<100 km)
S000035,39.99883,-83.023911,stream,Olentangy,5218153.0,United States,Minikits,PNNL_River_Sampling,118.8,ushis1166,5.4,3.0,Shallow,1937.0,"3 km NNW of Kettlersville, Ohio",Moderate (100-500 km)
S000036,41.38247,-82.514685,stream,Old Woman Creek,15604070.0,United States,Minikits,PNNL_River_Sampling,116.48,usp0002qkz,5.0,10.0,Shallow,1986.0,"4 km NNW of Chardon, Ohio",Moderate (100-500 km)
S000044,46.37,-119.27,stream,Columbia River,24415028.0,United States,Minikits,PNNL_River_Sampling,74.9,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Very Close (<100 km)
S000045,46.373014,-119.272266,stream,Columbia River,24415028.0,United States,Minikits,PNNL_River_Sampling,75.22,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Very Close (<100 km)
S000051,35.1946592,-106.6429675,stream,Rio Grande,17819088.0,United States,Minikits,PNNL_River_Sampling,169.79,usp0000e9z,5.0,25.0,Shallow,1976.0,"25 km NW of Crownpoint, New Mexico",Moderate (100-500 km)
S000052,35.7783973,-106.6895806,stream,Jemez River,17826456.0,United States,Minikits,PNNL_River_Sampling,134.6,iscgem851116,5.13,10.0,Shallow,1966.0,"4 km NNW of Lumberton, New Mexico",Moderate (100-500 km)
S000054,46.373104,-119.272205,stream,Columbia River,24415028.0,United States,Minikits,PNNL_River_Sampling,75.22,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Very Close (<100 km)
S000055,46.373073,-119.272254,stream,Columbia River,24415028.0,United States,Minikits,PNNL_River_Sampling,75.22,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Very Close (<100 km)
S000056,46.347558,-119.280801,stream,Columbia River,24415128.0,United States,Minikits,PNNL_River_Sampling,74.42,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Very Close (<100 km)
S000059,39.238368,-84.711626,stream,Great Miami River,3886082.0,United States,Minikits,PNNL_River_Sampling,134.0,se601214,5.0,10.0,Shallow,1980.0,"2 km SW of Sharpsburg, Kentucky",Moderate (100-500 km)
S000060,46.372781,-119.271912,stream,Columbia River,24415028.0,United States,Minikits,PNNL_River_Sampling,75.18,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Very Close (<100 km)
S000061,60.532685,-145.380946,stream,Tributary to the Sheridan Glacier River,-9999.0,United States,Minikits,PNNL_River_Sampling,4.83,iscgemsup865745,5.24,21.4,Shallow,1964.0,"16 km E of Cordova, Alaska",Very Close (<100 km)
S000062,60.516477,-144.862757,stream,Copper River,-9999.0,United States,Minikits,PNNL_River_Sampling,31.02,iscgem869891,5.35,15.0,Shallow,1964.0,"75 km E of Cordova, Alaska",Very Close (<100 km)
S000063,46.372979,-119.272181,stream,Columbia River,24415028.0,United States,Minikits,PNNL_River_Sampling,75.21,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Very Close (<100 km)
S000065,69.12972222,-104.9944444,stream,Freshwater Creek,-9999.0,Canada,Minikits,PNNL_River_Sampling,350.03,usp00011jz,5.1,18.0,Shallow,1979.0,"154 km N of Gjoa Haven, Canada",Moderate (100-500 km)
S000073,46.359512,-119.271805,stream,Columbia River,24415028.0,United States,Minikits,PNNL_River_Sampling,74.45,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Very Close (<100 km)
S000084,46.50219021,-119.2606988,stream,Columbia River,17000000000000.0,United States,Minikits,PNNL_River_Sampling,82.66,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Very Close (<100 km)
S000085,46.587056,-119.368194,stream,Columbia River,947020557.0,United States,Minikits,PNNL_River_Sampling,95.01,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Very Close (<100 km)
S000086,-36.554713,147.405241,stream,Snowy Creek,-9999.0,Australia,Minikits,PNNL_River_Sampling,139.93,us7000fd9v,5.9,12.0,Shallow,2021.0,"39 km S of Mount Buller, Australia",Moderate (100-500 km)
S000087,-35.47952,144.830925,stream,Wakool River,-9999.0,Australia,Minikits,PNNL_River_Sampling,261.91,us7000fd9v,5.9,12.0,Shallow,2021.0,"39 km S of Mount Buller, Australia",Moderate (100-500 km)
S000098,37.0449,-122.0714,stream,San Lorenzo River,17682474.0,United States,Minikits,PNNL_River_Sampling,12.52,ushis752,5.5,33.0,Shallow,1926.0,"1 km WNW of Davenport, California",Very Close (<100 km)
S000110,38.957586,-106.987644,stream,Copper Creek,1332672.0,United States,Minikits,PNNL_River_Sampling,90.42,ushis2466,5.5,49.0,Shallow,1960.0,"15 km E of Colona, Colorado",Very Close (<100 km)
S000112,38.922889,-106.949556,stream,East River,1332754.0,United States,Minikits,PNNL_River_Sampling,89.39,ushis2466,5.5,49.0,Shallow,1960.0,"15 km E of Colona, Colorado",Very Close (<100 km)
S000125,35.193491,-106.643465,stream,Rio Grande,17819088.0,United States,Minikits,PNNL_River_Sampling,169.81,usp0000e9z,5.0,25.0,Shallow,1976.0,"25 km NW of Crownpoint, New Mexico",Moderate (100-500 km)
S000126,35.827687,-106.643643,stream,East Fork Jemez River,17826372.0,United States,Minikits,PNNL_River_Sampling,130.02,iscgem851116,5.13,10.0,Shallow,1966.0,"4 km NNW of Lumberton, New Mexico",Moderate (100-500 km)
S000127,34.949722,-106.681195,stream,Rio Grande,17808622.0,United States,Minikits,PNNL_River_Sampling,180.34,usp0000e9z,5.0,25.0,Shallow,1976.0,"25 km NW of Crownpoint, New Mexico",Moderate (100-500 km)
S000128,35.847429,-106.491267,stream,East Fork Jemez River,17826274.0,United States,Minikits,PNNL_River_Sampling,131.51,iscgem851116,5.13,10.0,Shallow,1966.0,"4 km NNW of Lumberton, New Mexico",Moderate (100-500 km)
S000129,35.668419,-106.743579,stream,Jemez River,17826716.0,United States,Minikits,PNNL_River_Sampling,145.46,usp0000e9z,5.0,25.0,Shallow,1976.0,"25 km NW of Crownpoint, New Mexico",Moderate (100-500 km)
S000130,35.778372,-106.689537,stream,Jemez River,17826456.0,United States,Minikits,PNNL_River_Sampling,134.6,iscgem851116,5.13,10.0,Shallow,1966.0,"4 km NNW of Lumberton, New Mexico",Moderate (100-500 km)
S000132,47.3965,-121.3812,stream,Gold Creek,24126189.0,United States,Minikits,PNNL_River_Sampling,54.94,uw10389973,5.4,3.825,Shallow,1996.0,"8 km NNE of Lake Marcel-Stillwater, Washington",Very Close (<100 km)
S000134,46.41963,-120.3332,stream,Yakima River,23099786.0,United States,Minikits,PNNL_River_Sampling,82.08,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
S000140,35.609161,-82.5780199,stream,French Broad River,22162094.0,United States,Minikits,PNNL_River_Sampling,165.04,se60324281,5.1,4.14,Shallow,2020.0,"4 km SE of Sparta, North Carolina",Moderate (100-500 km)
S000141,35.9614998,-83.1734237,stream,Pigeon,22150581.0,United States,Minikits,PNNL_River_Sampling,195.7,se60324281,5.1,4.14,Shallow,2020.0,"4 km SE of Sparta, North Carolina",Moderate (100-500 km)
S000142,34.9729394,-90.8852547,stream,L' Anguille,22865239.0,United States,Minikits,PNNL_River_Sampling,399.75,iscgem814965,5.26,15.7,Shallow,1968.0,"5 km SSW of Norris City, Illinois",Moderate (100-500 km)
S000143,36.1849251,-85.9063167,stream,Caney Fork,18421703.0,United States,Minikits,PNNL_River_Sampling,282.37,se601214,5.0,10.0,Shallow,1980.0,"2 km SW of Sharpsburg, Kentucky",Moderate (100-500 km)
S000144,40.108128,-83.034656,stream,Olentangy,5215055.0,United States,Minikits,PNNL_River_Sampling,113.03,ushis1166,5.4,3.0,Shallow,1937.0,"3 km NNW of Kettlersville, Ohio",Moderate (100-500 km)
S000145,40.096636,-83.110276,stream,Scioto River,5215671.0,United States,Minikits,PNNL_River_Sampling,107.56,ushis1166,5.4,3.0,Shallow,1937.0,"3 km NNW of Kettlersville, Ohio",Moderate (100-500 km)
S000148,35.5684757,-82.5451142,stream,Swannanoa,22161688.0,United States,Minikits,PNNL_River_Sampling,165.39,se60324281,5.1,4.14,Shallow,2020.0,"4 km SE of Sparta, North Carolina",Moderate (100-500 km)
S000155,46.732372,-117.1808777,stream,South Fork Palouse River,23459939.0,United States,Minikits,PNNL_River_Sampling,123.48,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Moderate (100-500 km)
S000156,46.7323325,-117.1808314,stream,South Fork Palouse River,23459939.0,United States,Minikits,PNNL_River_Sampling,123.48,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Moderate (100-500 km)
S000157,46.732345,-117.18081,stream,South Fork Palouse River,23459939.0,United States,Minikits,PNNL_River_Sampling,123.48,iscgem903747,5.99,10.0,Shallow,1936.0,"3 km SW of Garrett, Washington",Moderate (100-500 km)
S000166,38.863608,-107.03354,stream,Coal Creek,1332234.0,United States,Minikits,PNNL_River_Sampling,79.7,ushis2466,5.5,49.0,Shallow,1960.0,"15 km E of Colona, Colorado",Very Close (<100 km)
S000173,68.28346,-149.37181,stream,Trevor Creek,-9999.0,United States,Minikits,PNNL_River_Sampling,69.83,ak003apq3l1r,5.4,20.7,Shallow,2003.0,"119 km WNW of Arctic Village, Alaska",Very Close (<100 km)
S000174,68.64316,-149.40315,stream,Kuparak,-9999.0,United States,Minikits,PNNL_River_Sampling,55.31,ak003apq3l1r,5.4,20.7,Shallow,2003.0,"119 km WNW of Arctic Village, Alaska",Very Close (<100 km)
S000175,68.686,-149.09898,stream,Oksrukuyik,-9999.0,United States,Minikits,PNNL_River_Sampling,42.84,ak003apq3l1r,5.4,20.7,Shallow,2003.0,"119 km WNW of Arctic Village, Alaska",Very Close (<100 km)
S000188,-29.50064,30.2206,stream,Mzimvubu River,-9999.0,South Africa,Minikits,PNNL_River_Sampling,184.15,usp0002yqa,5.4,5.0,Shallow,1986.0,"47 km S of Qacha’s Nek, Lesotho",Moderate (100-500 km)
S000189,-30.85071,29.06927,stream,Tsomo River,-9999.0,South Africa,Minikits,PNNL_River_Sampling,46.45,usp0002yqa,5.4,5.0,Shallow,1986.0,"47 km S of Qacha’s Nek, Lesotho",Very Close (<100 km)
S000191,-24.028378,30.168665,stream,Thabina River,-9999.0,South Africa,Minikits,PNNL_River_Sampling,195.94,usp0000390,5.2,33.0,Shallow,1973.0,"56 km ESE of Mathathane, Botswana",Moderate (100-500 km)
S000192,-29.49912,30.22189,stream,Umgeni,-9999.0,South Africa,Minikits,PNNL_River_Sampling,184.35,usp0002yqa,5.4,5.0,Shallow,1986.0,"47 km S of Qacha’s Nek, Lesotho",Moderate (100-500 km)
S000251,27.7,85.3,stream,Bishnumati,-9999.0,Nepal,Minikits,PNNL_River_Sampling,10.24,us20002bf3,5.0,10.0,Shallow,2015.0,"7 km W of Kirtipur, Nepal",Very Close (<100 km)
S000252,27.667,85.167,stream,Bagmati,-9999.0,Nepal,Minikits,PNNL_River_Sampling,3.38,us20002bf3,5.0,10.0,Shallow,2015.0,"7 km W of Kirtipur, Nepal",Very Close (<100 km)
S01,46.976,-121.1579,stream,American River,24422913.0,United States,SSS,PNNL_River_Sampling,53.24,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
S02,46.9754,-121.158,stream,Bumping River,24422975.0,United States,SSS,PNNL_River_Sampling,53.18,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
S03,47.0195,-121.1285,stream,Quartz Creek,24423897.0,United States,SSS,PNNL_River_Sampling,58.55,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
S04,46.8099,-121.0672,stream,North Fork Rattlesnake Creek,24423139.0,United States,SSS,PNNL_River_Sampling,40.29,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
S08,47.0171,-121.1357,stream,Little Naches River,24422831.0,United States,SSS,PNNL_River_Sampling,58.11,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
S10,46.8095,-121.0675,stream,Rattlesnake Creek,24423157.0,United States,SSS,PNNL_River_Sampling,40.24,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
S11,46.9006,-121.2466,stream,Bumping River,24422999.0,United States,SSS,PNNL_River_Sampling,43.21,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
S12,47.05638,-121.26788,stream,South Fork Little Naches River,24422871.0,United States,Unknown,PNNL_River_Sampling,59.83,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
S13R,47.420551,-121.086972,stream,Cle Elum River,24125883.0,United States,SPS,PNNL_River_Sampling,70.23,uw10389973,5.4,3.825,Shallow,1996.0,"8 km NNE of Lake Marcel-Stillwater, Washington",Very Close (<100 km)
S14,47.41986,-121.087854,stream,Waptus River,24125945.0,United States,SPS,PNNL_River_Sampling,70.22,uw10389973,5.4,3.825,Shallow,1996.0,"8 km NNE of Lake Marcel-Stillwater, Washington",Very Close (<100 km)
S15,47.363498,-121.106919,stream,Thorp Creek,24126041.0,United States,SPS,PNNL_River_Sampling,72.68,uw10389973,5.4,3.825,Shallow,1996.0,"8 km NNE of Lake Marcel-Stillwater, Washington",Very Close (<100 km)
S16,47.42067,-121.14629,stream,Cooper River,24126011.0,United States,Unknown,PNNL_River_Sampling,66.52,uw10389973,5.4,3.825,Shallow,1996.0,"8 km NNE of Lake Marcel-Stillwater, Washington",Very Close (<100 km)
S17,47.39473,-121.10328,stream,Cooper River,24125999.0,United States,Unknown,PNNL_River_Sampling,70.83,uw10389973,5.4,3.825,Shallow,1996.0,"8 km NNE of Lake Marcel-Stillwater, Washington",Very Close (<100 km)
S17R,47.394429,-121.10174,stream,Cooper River,24125999.0,United States,SPS,PNNL_River_Sampling,70.94,uw10389973,5.4,3.825,Shallow,1996.0,"8 km NNE of Lake Marcel-Stillwater, Washington",Very Close (<100 km)
S18,47.39479,-121.09626,stream,Cle Elum River,24125873.0,United States,Unknown,PNNL_River_Sampling,71.26,uw10389973,5.4,3.825,Shallow,1996.0,"8 km NNE of Lake Marcel-Stillwater, Washington",Very Close (<100 km)
S18R,47.39603,-121.096933,stream,Cle Elum River,24125873.0,United States,SPS,PNNL_River_Sampling,71.14,uw10389973,5.4,3.825,Shallow,1996.0,"8 km NNE of Lake Marcel-Stillwater, Washington",Very Close (<100 km)
S19,47.258225,-120.904118,stream,West Fork Teanaway River,24125729.0,United States,SPS,PNNL_River_Sampling,89.59,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
S19E,47.255067,-120.878922,stream,North Fork Teanaway River,24125633.0,United States,SPS,PNNL_River_Sampling,90.09,uw10106318,5.0,2.136,Shallow,1981.0,"23 km ESE of Packwood, Washington",Very Close (<100 km)
S19S_0001,49.38609,-121.45047,stream,Fraser,-9999.0,Canada,S19S,PNNL_River_Sampling,79.31,uw10257663,5.0,11.861,Shallow,1990.0,"4 km ENE of Deming, Washington",Very Close (<100 km)
S19S_0003,50.6888,-120.36647,stream,Thompson,-9999.0,Canada,S19S,PNNL_River_Sampling,242.13,uw10257663,5.0,11.861,Shallow,1990.0,"4 km ENE of Deming, Washington",Moderate (100-500 km)
S19S_0004,50.7751,-119.72196,stream,South Thompson,-9999.0,Canada,S19S,PNNL_River_Sampling,276.88,uw10257663,5.0,11.861,Shallow,1990.0,"4 km ENE of Deming, Washington",Moderate (100-500 km)
S19S_0005,49.86887,-97.40781,stream,Assiniboine,-9999.0,Canada,S19S,PNNL_River_Sampling,834.54,ushis2657,5.1,30.0,Shallow,1964.0,"11 km NW of Merriman, Nebraska",Distant (>500 km)
