site_id,latitude,longitude,description,feature_name,comid,country,origin_study_code,data_source,nearest_eq_distance_km,nearest_eq_id,nearest_eq_magnitude,nearest_eq_depth_km,nearest_eq_depth_category,nearest_eq_year,nearest_eq_place,proximity_category
GUN-TUN,38.5292,-107.6483,stream,Gunnison River below Gunnison Tunnel,3252173.0,United States,WROL,PNNL_River_Sampling,25.83,ushis2466,5.5,49.0,Shallow,1960.0,"15 km E of Colona, Colorado",Very Close (<100 km)
"HJ Andrews, OR (Evapotranspiration driven)",44.206532,-122.256641,stream,HJ Andrews,-9999.0,United States,48hr,PNNL_River_Sampling,96.21,uw10306313,5.6,19.608,Shallow,1993.0,"4 km E of Scotts Mills, Oregon",Very Close (<100 km)
HJA-WS1,44.208517,-122.256831,stream,HJ Andrews watershed 1,-9999.0,United States,WROL,PNNL_River_Sampling,95.99,uw10306313,5.6,19.608,Shallow,1993.0,"4 km E of Scotts Mills, Oregon",Very Close (<100 km)
HJA-WS2,44.213385,-122.243976,stream,HJ Andrews watershed 2,-9999.0,United States,WROL,PNNL_River_Sampling,95.78,uw10306313,5.6,19.608,Shallow,1993.0,"4 km E of Scotts Mills, Oregon",Very Close (<100 km)
HOPB,42.47168,-72.33038,stream,Hop Brook,7690025.0,United States,CM,PNNL_River_Sampling,174.1,ushis1343,5.26,10.0,Shallow,1940.0,"8 km W of Tamworth, New Hampshire",Moderate (100-500 km)
IRQ1,44.5815,-75.679,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,84.02,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
IRQ1.5,44.736,-75.4524,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,60.35,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
IRQ2,44.8203,-75.314,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,46.85,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
LDS-LAP,43.6892,-121.503,stream,Little Deschutes River near La Pine,23706200.0,United States,WROL,PNNL_River_Sampling,154.81,uw10313838,6.0,8.53,Shallow,1993.0,"27 km WNW of Klamath Falls, Oregon",Moderate (100-500 km)
LEC-PR,29.542087,-98.631869,stream,Leon Creek,10835090.0,United States,AV1,PNNL_River_Sampling,407.06,tx2024ophu,5.1,3.2959,Shallow,2024.0,"17 km NNE of Hermleigh, Texas",Moderate (100-500 km)
LEC-RRP,29.631969,-98.609359,stream,Leon Creek,10834984.0,United States,AV1,PNNL_River_Sampling,399.28,tx2024ophu,5.1,3.2959,Shallow,2024.0,"17 km NNE of Hermleigh, Texas",Moderate (100-500 km)
LEC-VTH,29.59201,-98.60486,stream,Leon Creek,10835044.0,United States,AV1,PNNL_River_Sampling,403.39,tx2024ophu,5.1,3.2959,Shallow,2024.0,"17 km NNE of Hermleigh, Texas",Moderate (100-500 km)
LOO-BLU,44.2097,-122.257,stream,Lookout Creek near Blue River,23773411.0,United States,WROL,PNNL_River_Sampling,95.86,uw10306313,5.6,19.608,Shallow,1993.0,"4 km E of Scotts Mills, Oregon",Very Close (<100 km)
LSF1,45.2255,-74.2521,stream,St. Lawrence River,-9999.0,Canada,STL,PNNL_River_Sampling,49.76,iscgem899531,5.74,15.0,Shallow,1944.0,"8 km S of Cornwall, Canada",Very Close (<100 km)
